root_ancestor,domain,measure_1,measure_2,tree_1,tree_2
565,Money & Markets,"Gross fixed capital formation, volumes",Gross value added - NACE Rev. 2: K - volumes,569,565
565,Money & Markets,"Gross fixed capital formation, volumes",Gross value added - NACE Rev. 2: L - current prices,569,565
565,Money & Markets,"Gross fixed capital formation, volumes",Gross value added - NACE Rev. 2: L - volumes,569,565
565,Money & Markets,"Gross fixed capital formation, volumes",Gross value added - NACE Rev. 2: M_N - current prices,569,565
565,Money & Markets,"Gross fixed capital formation, volumes",Gross value added - NACE Rev. 2: M_N - volumes,569,565
565,Money & Markets,"Gross fixed capital formation, volumes",Gross value added - NACE Rev. 2: O-Q - current prices,569,565
565,Money & Markets,"Gross fixed capital formation, volumes",Gross value added - NACE Rev. 2: O-Q - volumes,569,565
565,Money & Markets,"Gross fixed capital formation, volumes",Gross value added - NACE Rev. 2: R-U - current prices,569,565
565,Money & Markets,"Gross fixed capital formation, volumes",Gross value added - NACE Rev. 2: R-U - volumes,569,565
565,Money & Markets,"Gross fixed capital formation, volumes","Gross non-performing loans, domestic and foreign entities - % of gross loans",569,570
565,Money & Markets,"Gross fixed capital formation, volumes",Gross domestic product (GDP) at current market prices by other typologies,569,565
565,Money & Markets,Gross national income,Gross disposable income,565,568
565,Money & Markets,Gross national income,Gross saving,565,573
565,Money & Markets,Gross national income,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross national income,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross disposable income,Gross saving,568,573
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: TOTAL - current prices,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: TOTAL - volumes,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: A - current prices,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: A - volumes,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: B-E - current prices,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: B-E - volumes,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: C - current prices,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: C - volumes,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: F - current prices,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: F - volumes,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: G-I - current prices,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: G-I - volumes,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: J - current prices,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: J - volumes,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: K - current prices,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: K - volumes,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: L - current prices,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: L - volumes,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: M_N - current prices,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: M_N - volumes,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: O-Q - current prices,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: O-Q - volumes,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: R-U - current prices,568,565
565,Money & Markets,Gross disposable income,Gross value added - NACE Rev. 2: R-U - volumes,568,565
565,Money & Markets,Gross disposable income,"Gross non-performing loans, domestic and foreign entities - % of gross loans",568,570
565,Money & Markets,Gross disposable income,Gross fixed capital formation at current prices,568,569
565,Money & Markets,Gross disposable income,Gross domestic product (GDP) at current market prices by other typologies,568,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: TOTAL - current prices,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: TOTAL - volumes,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: A - current prices,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: A - volumes,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: B-E - current prices,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: B-E - volumes,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: C - current prices,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: C - volumes,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: F - current prices,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: F - volumes,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: G-I - current prices,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: G-I - volumes,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: J - current prices,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: J - volumes,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: K - current prices,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: K - volumes,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: L - current prices,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: L - volumes,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: M_N - current prices,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: M_N - volumes,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: O-Q - current prices,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: O-Q - volumes,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: R-U - current prices,573,565
565,Money & Markets,Gross saving,Gross value added - NACE Rev. 2: R-U - volumes,573,565
565,Money & Markets,Gross saving,"Gross non-performing loans, domestic and foreign entities - % of gross loans",573,570
565,Money & Markets,Gross saving,Gross fixed capital formation at current prices,573,569
565,Money & Markets,Gross saving,Gross domestic product (GDP) at current market prices by other typologies,573,565
565,Money & Markets,Gross value added - NACE Rev. 2: TOTAL - current prices,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: TOTAL - current prices,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: TOTAL - volumes,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: TOTAL - volumes,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: A - current prices,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: A - current prices,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: A - volumes,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: A - volumes,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: B-E - current prices,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: B-E - current prices,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: B-E - volumes,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: B-E - volumes,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: C - current prices,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: C - current prices,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: C - volumes,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: C - volumes,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: F - current prices,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: F - current prices,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: F - volumes,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: F - volumes,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: G-I - current prices,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: G-I - current prices,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: G-I - volumes,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: G-I - volumes,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: J - current prices,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: J - current prices,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: J - volumes,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: J - volumes,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: K - current prices,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: K - current prices,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: K - volumes,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: K - volumes,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: L - current prices,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: L - current prices,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: L - volumes,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: L - volumes,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: M_N - current prices,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: M_N - current prices,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: M_N - volumes,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: M_N - volumes,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: O-Q - current prices,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: O-Q - current prices,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: O-Q - volumes,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: O-Q - volumes,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: R-U - current prices,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: R-U - current prices,Gross fixed capital formation at current prices,565,569
565,Money & Markets,Gross value added - NACE Rev. 2: R-U - volumes,"Gross non-performing loans, domestic and foreign entities - % of gross loans",565,570
565,Money & Markets,Gross value added - NACE Rev. 2: R-U - volumes,Gross fixed capital formation at current prices,565,569
565,Money & Markets,"Gross non-performing loans, domestic and foreign entities - % of gross loans",Gross fixed capital formation at current prices,570,569
565,Money & Markets,"Gross non-performing loans, domestic and foreign entities - % of gross loans",Gross domestic product (GDP) at current market prices by other typologies,570,565
565,Money & Markets,Gross fixed capital formation at current prices,Gross domestic product (GDP) at current market prices by other typologies,569,565
57,Environment & Natural Resources and Production,Air pollutants,Air emissions per sector and per gas,61,60
57,Environment & Natural Resources and Production,Air pollutants,Air emission intensity from industry,61,59
57,Environment & Natural Resources and Production,Air emissions per sector and per gas,Air emission intensity from industry,60,59
577,Money & Markets,HICP - country weights,HICP - alcohol and tobacco,577,578
577,Money & Markets,HICP - all items - annual average indices,HICP - alcohol and tobacco,577,578
577,Money & Markets,HICP - inflation rate,HICP - alcohol and tobacco,577,578
577,Money & Markets,HICP - all items,HICP - alcohol and tobacco,577,578
577,Money & Markets,HICP - food,HICP - alcohol and tobacco,577,578
577,Money & Markets,HICP - alcohol and tobacco,HICP - clothing,578,577
577,Money & Markets,HICP - alcohol and tobacco,HICP - housing,578,577
577,Money & Markets,HICP - alcohol and tobacco,HICP - household equipment,578,577
577,Money & Markets,HICP - alcohol and tobacco,HICP - health,578,577
577,Money & Markets,HICP - alcohol and tobacco,HICP - transport,578,577
577,Money & Markets,HICP - alcohol and tobacco,HICP - communications,578,577
577,Money & Markets,HICP - alcohol and tobacco,HICP - recreation and culture,578,577
577,Money & Markets,HICP - alcohol and tobacco,HICP - education,578,577
577,Money & Markets,HICP - alcohol and tobacco,HICP - hotels and restaurants,578,577
577,Money & Markets,HICP - alcohol and tobacco,HICP - miscellaneous goods and services,578,577
577,Money & Markets,HICP - alcohol and tobacco,"HICP - all items excluding energy, food, alcohol and tobacco",578,577
577,Money & Markets,HICP - alcohol and tobacco,HICP - all items excluding energy,578,577
577,Money & Markets,HICP - alcohol and tobacco,HICP - all items excluding energy and unprocessed food,578,577
577,Money & Markets,HICP - alcohol and tobacco,HICP - all items excluding energy and seasonal food,578,577
577,Money & Markets,HICP - alcohol and tobacco,HICP - all items excluding tobacco,578,577
577,Money & Markets,HICP - alcohol and tobacco,HICP - energy,578,577
577,Money & Markets,HICP - alcohol and tobacco,"HICP - food, alcohol and tobacco",578,577
577,Money & Markets,HICP - alcohol and tobacco,HICP - services,578,577
577,Money & Markets,HICP - alcohol and tobacco,HICP - non-energy industrial goods,578,577
590,Health & Safety,Health care expenditure as a share of GDP,Health impacts of air pollution,591,592
590,Health & Safety,Health care expenditure as a share of GDP,Health graduates,591,590
590,Health & Safety,Health care expenditure as a share of GDP,Health personnel,591,590
590,Health & Safety,Health impacts of air pollution,Health graduates,592,590
590,Health & Safety,Health impacts of air pollution,Health personnel,592,590
590,Health & Safety,Health impacts of air pollution,Health care expenditure by function,592,591
590,Health & Safety,Health impacts of air pollution,Health care expenditure by financing scheme,592,591
590,Health & Safety,Health graduates,Health care expenditure by function,590,591
590,Health & Safety,Health graduates,Health care expenditure by financing scheme,590,591
590,Health & Safety,Health personnel,Health care expenditure by function,590,591
590,Health & Safety,Health personnel,Health care expenditure by financing scheme,590,591
595,Tech & Innovation,High-tech exports - Exports of high technology products as a share of total exports (from SITC Rev. 4),"High-speed internet coverage, by type of area",599,597
595,Tech & Innovation,"High-speed internet coverage, by type of area",High-tech exports,597,599
613,Money & Markets,Household saving rate,"Household debt, consolidated including Non-profit institutions serving households - % of GDP",613,615
616,"People, Work & Living Conditions",Households by size (number of persons),Households with sustainable access to improved sanitation by simplified degree of urbanisation,616,619
616,"People, Work & Living Conditions",Households with sustainable access to improved sanitation by simplified degree of urbanisation,Households with access to secure tenure by simplified degree of urbanisation,619,616
616,"People, Work & Living Conditions",Households with sustainable access to improved sanitation by simplified degree of urbanisation,Households maintaining the same standard of living using savings by duration and risk of poverty threshold,619,616
620,"People, Work & Living Conditions",Housing units by type of building,Housing cost overburden rate by NUTS regions,621,620
620,"People, Work & Living Conditions",Housing units by type of building,Housing cost overburden rate by income quintile - EU-SILC survey,621,620
620,"People, Work & Living Conditions",Housing units by type of building,Housing cost overburden rate by tenure status - EU-SILC survey,621,620
620,"People, Work & Living Conditions",Housing units by type of building,Housing cost overburden rate by degree of urbanisation - EU-SILC survey,621,620
620,"People, Work & Living Conditions",Housing units by type of building,Housing cost overburden rate by poverty status,621,620
620,"People, Work & Living Conditions",Housing units by type of building,Housing cost overburden rate,621,620
620,"People, Work & Living Conditions",Housing units by type of building,Housing cost overburden rate by sex - EU-SILC survey,621,620
620,"People, Work & Living Conditions",Housing units by type of building,Housing cost overburden rate by age group - EU-SILC survey,621,620
620,"People, Work & Living Conditions",Housing units by type of building,Housing cost overburden rate by poverty status - EU-SILC survey,621,620
620,"People, Work & Living Conditions",Housing units by type of building,Housing cost overburden rate by household type - EU-SILC survey,621,620
620,"People, Work & Living Conditions",Housing units by type of building,Housing deprivation rate by number of item - EU-SILC survey,621,620
620,"People, Work & Living Conditions",Housing units by type,Housing cost overburden rate by NUTS regions,621,620
620,"People, Work & Living Conditions",Housing units by type,Housing cost overburden rate by income quintile - EU-SILC survey,621,620
620,"People, Work & Living Conditions",Housing units by type,Housing cost overburden rate by tenure status - EU-SILC survey,621,620
620,"People, Work & Living Conditions",Housing units by type,Housing cost overburden rate by degree of urbanisation - EU-SILC survey,621,620
620,"People, Work & Living Conditions",Housing units by type,Housing cost overburden rate by poverty status,621,620
620,"People, Work & Living Conditions",Housing units by type,Housing cost overburden rate,621,620
620,"People, Work & Living Conditions",Housing units by type,Housing cost overburden rate by sex - EU-SILC survey,621,620
620,"People, Work & Living Conditions",Housing units by type,Housing cost overburden rate by age group - EU-SILC survey,621,620
620,"People, Work & Living Conditions",Housing units by type,Housing cost overburden rate by poverty status - EU-SILC survey,621,620
620,"People, Work & Living Conditions",Housing units by type,Housing cost overburden rate by household type - EU-SILC survey,621,620
620,"People, Work & Living Conditions",Housing units by type,Housing deprivation rate by number of item - EU-SILC survey,621,620
647,"People, Work & Living Conditions","Inability to keep home adequately warm by level of disability (activity limitation), sex and age","Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day - EU-SILC survey",648,647
647,"People, Work & Living Conditions","Inability to keep home adequately warm by level of disability (activity limitation), sex and age","Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day by NUTS regions",648,647
647,"People, Work & Living Conditions","Inability to keep home adequately warm by level of disability (activity limitation), sex and age",Inability to face unexpected financial expenses by NUTS regions,648,647
647,"People, Work & Living Conditions",Inability to keep home adequately warm by NUTS regions,"Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day - EU-SILC survey",648,647
647,"People, Work & Living Conditions",Inability to keep home adequately warm by NUTS regions,"Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day by NUTS regions",648,647
647,"People, Work & Living Conditions",Inability to keep home adequately warm by NUTS regions,Inability to face unexpected financial expenses by NUTS regions,648,647
653,"People, Work & Living Conditions",Income quintile share ratio - S80/S20,Income distribution,653,654
653,"People, Work & Living Conditions",Income quintile share ratio S80/S20 by NUTS 2 regions - EU-SILC survey,Income distribution,653,654
653,"People, Work & Living Conditions",Income in real terms SILC=100),Income distribution,653,654
653,"People, Work & Living Conditions",Income distribution,Income share of the bottom 40 % of the population,654,653
653,"People, Work & Living Conditions",Income distribution,Income inequality for older people - EU-SILC survey,654,653
653,"People, Work & Living Conditions",Income distribution,Income quintile share ratio (S80/S20) by sex,654,653
70,"People, Work & Living Conditions",Annual net earnings of a full-time single worker without children earning an average wage,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O",77,70
70,"People, Work & Living Conditions",Annual net earnings of a full-time single worker without children earning an average wage,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O",77,70
70,"People, Work & Living Conditions",Annual net earnings of a full-time single worker without children earning an average wage,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L",77,70
70,"People, Work & Living Conditions",Annual net earnings of a full-time single worker without children earning an average wage,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L",77,70
70,Environment & Natural Resources and Production,Annual freshwater abstraction by source,Annual work units in forestry and logging,76,80
70,Environment & Natural Resources and Production,Annual freshwater abstraction by source,Annual production and utilisation of milk on the farm,76,79
70,Environment & Natural Resources and Production,Annual freshwater abstraction by source,Annual captures of fish - live weight in tonnes - by fishing areas,76,72
70,Environment & Natural Resources and Production,Annual freshwater abstraction by source,Annual aquaculture production - live weight in tonnes,76,71
70,Environment & Natural Resources and Production,Annual work units in forestry and logging,Annual production and utilisation of milk on the farm,80,79
70,Environment & Natural Resources and Production,Annual work units in forestry and logging,Annual captures of fish - live weight in tonnes - by fishing areas,80,72
70,Environment & Natural Resources and Production,Annual work units in forestry and logging,Annual aquaculture production - live weight in tonnes,80,71
70,Environment & Natural Resources and Production,Annual production and utilisation of milk on the farm,Annual captures of fish - live weight in tonnes - by fishing areas,79,72
70,Environment & Natural Resources and Production,Annual production and utilisation of milk on the farm,Annual aquaculture production - live weight in tonnes,79,71
70,Environment & Natural Resources and Production,Annual captures of fish - live weight in tonnes - by fishing areas,Annual aquaculture production - live weight in tonnes,72,71
716,"People, Work & Living Conditions",Labour transitions by employment status,"Labour force participation rate, aged 15-64 - annual averages",716,717
716,"People, Work & Living Conditions",Labour transitions by employment status,Labour force participation rate - % of total population aged 15-64,716,717
716,"People, Work & Living Conditions",Labour transitions from temporary to permanent contracts by sex -3-year average,"Labour force participation rate, aged 15-64 - annual averages",716,717
716,"People, Work & Living Conditions",Labour transitions from temporary to permanent contracts by sex -3-year average,Labour force participation rate - % of total population aged 15-64,716,717
716,"People, Work & Living Conditions",Labour cost index by NACE Rev. 2,"Labour force participation rate, aged 15-64 - annual averages",716,717
716,"People, Work & Living Conditions",Labour cost index by NACE Rev. 2,Labour force participation rate - % of total population aged 15-64,716,717
716,"People, Work & Living Conditions",Labour productivity per person employed and hour worked (EU27_2020=100),"Labour force participation rate, aged 15-64 - annual averages",716,717
716,"People, Work & Living Conditions",Labour productivity per person employed and hour worked (EU27_2020=100),Labour force participation rate - % of total population aged 15-64,716,717
716,"People, Work & Living Conditions","Labour force participation rate, aged 15-64 - annual averages",Labour productivity per hour worked - annual data,717,716
716,"People, Work & Living Conditions","Labour force participation rate, aged 15-64 - annual averages",Labour costs annual data - NACE Rev. 2,717,716
716,"People, Work & Living Conditions",Labour force participation rate - % of total population aged 15-64,Labour productivity per hour worked - annual data,717,716
716,"People, Work & Living Conditions",Labour force participation rate - % of total population aged 15-64,Labour costs annual data - NACE Rev. 2,717,716
728,Transports,Length of lines,Length of navigable inland waterways by waterway type,728,729
728,Transports,Length of lines,Length of pipelines operated,728,730
728,Transports,Length of roads network,Length of navigable inland waterways by waterway type,728,729
728,Transports,Length of roads network,Length of pipelines operated,728,730
728,Transports,Length of network,Length of navigable inland waterways by waterway type,728,729
728,Transports,Length of network,Length of pipelines operated,728,730
728,Transports,Length of navigable inland waterways by waterway type,Length of pipelines operated,729,730
728,Transports,Length of navigable inland waterways by waterway type,Length of railway lines by maximum permitted speed,729,728
728,Transports,Length of navigable inland waterways by waterway type,Length of railway tracks by electrification of tracks,729,728
728,Transports,Length of navigable inland waterways by waterway type,Length of railway lines equipped with the railway traffic management system by type of signalling,729,728
728,Transports,Length of navigable inland waterways by waterway type,Length of other roads within/outside built-up areas,729,728
728,Transports,Length of navigable inland waterways by waterway type,Length of paved and unpaved roads,729,728
728,Transports,Length of navigable inland waterways by waterway type,Length of motorways and e-roads,729,728
728,Transports,Length of pipelines operated,Length of railway lines by maximum permitted speed,730,728
728,Transports,Length of pipelines operated,Length of railway tracks by electrification of tracks,730,728
728,Transports,Length of pipelines operated,Length of railway lines equipped with the railway traffic management system by type of signalling,730,728
728,Transports,Length of pipelines operated,Length of other roads within/outside built-up areas,730,728
728,Transports,Length of pipelines operated,Length of paved and unpaved roads,730,728
728,Transports,Length of pipelines operated,Length of motorways and e-roads,730,728
759,"People, Work & Living Conditions",Long-term unemployment rates by sex,"Long working hours in main job by sex, age, professional status and occupation",765,767
759,"People, Work & Living Conditions",Long-term unemployment rates by sex,"Long-term residents by age, sex and citizenship on 31 December of each year",765,764
759,"People, Work & Living Conditions",Long-term unemployment rates by sex,"Long-term residence permits issued during the year by age, sex and citizenship",765,763
759,"People, Work & Living Conditions","Long working hours in main job by sex, age, professional status and occupation","Long-term residents by age, sex and citizenship on 31 December of each year",767,764
759,"People, Work & Living Conditions","Long working hours in main job by sex, age, professional status and occupation","Long-term residence permits issued during the year by age, sex and citizenship",767,763
759,"People, Work & Living Conditions","Long working hours in main job by sex, age, professional status and occupation",Long-term unemployment rate by sex,767,765
759,"People, Work & Living Conditions","Long working hours in main job by sex, age, professional status and occupation","Long-term unemployment rate, % of active population aged 15-74",767,765
759,"People, Work & Living Conditions","Long-term residents by age, sex and citizenship on 31 December of each year","Long-term residence permits issued during the year by age, sex and citizenship",764,763
759,"People, Work & Living Conditions","Long-term residents by age, sex and citizenship on 31 December of each year",Long-term unemployment rate by sex,764,765
759,"People, Work & Living Conditions","Long-term residents by age, sex and citizenship on 31 December of each year","Long-term unemployment rate, % of active population aged 15-74",764,765
759,"People, Work & Living Conditions","Long-term residence permits issued during the year by age, sex and citizenship",Long-term unemployment rate by sex,763,765
759,"People, Work & Living Conditions","Long-term residence permits issued during the year by age, sex and citizenship","Long-term unemployment rate, % of active population aged 15-74",763,765
796,Transports,Maritime goods transport performed in the Exclusive Economic Zone of the countries,Maritime equipment - number of ships of 1 000 grt and over,796,798
796,Transports,Maritime goods transport performed in the Exclusive Economic Zone of the countries,Maritime equipment - number of ships of 300 grt and over,796,798
796,Transports,Maritime goods transport performed in the Exclusive Economic Zone of the countries,Maritime equipment - carrying capacity of ships of 1 000 grt and over,796,798
796,Transports,Maritime goods transport performed in the Exclusive Economic Zone of the countries,Maritime equipment - carrying capacity of ships of 300 grt and over,796,798
796,Transports,Maritime goods transport performed in the Exclusive Economic Zone of the countries,Maritime accident victims by sea basin of occurrence and country of registration of vessels,796,797
796,Transports,Maritime goods transport performed in the Exclusive Economic Zone of the countries,"Maritime accident victims by sea basin of occurrence, country of registration of vessels and type of vessels",796,797
796,Transports,Maritime passenger transport performed in the Exclusive Economic Zone of the countries,Maritime equipment - number of ships of 1 000 grt and over,796,798
796,Transports,Maritime passenger transport performed in the Exclusive Economic Zone of the countries,Maritime equipment - number of ships of 300 grt and over,796,798
796,Transports,Maritime passenger transport performed in the Exclusive Economic Zone of the countries,Maritime equipment - carrying capacity of ships of 1 000 grt and over,796,798
796,Transports,Maritime passenger transport performed in the Exclusive Economic Zone of the countries,Maritime equipment - carrying capacity of ships of 300 grt and over,796,798
796,Transports,Maritime passenger transport performed in the Exclusive Economic Zone of the countries,Maritime accident victims by sea basin of occurrence and country of registration of vessels,796,797
796,Transports,Maritime passenger transport performed in the Exclusive Economic Zone of the countries,"Maritime accident victims by sea basin of occurrence, country of registration of vessels and type of vessels",796,797
796,Transports,Maritime goods short-sea shipping performed in the Exclusive Economic Zone of the countries,Maritime equipment - number of ships of 1 000 grt and over,796,798
796,Transports,Maritime goods short-sea shipping performed in the Exclusive Economic Zone of the countries,Maritime equipment - number of ships of 300 grt and over,796,798
796,Transports,Maritime goods short-sea shipping performed in the Exclusive Economic Zone of the countries,Maritime equipment - carrying capacity of ships of 1 000 grt and over,796,798
796,Transports,Maritime goods short-sea shipping performed in the Exclusive Economic Zone of the countries,Maritime equipment - carrying capacity of ships of 300 grt and over,796,798
796,Transports,Maritime goods short-sea shipping performed in the Exclusive Economic Zone of the countries,Maritime accident victims by sea basin of occurrence and country of registration of vessels,796,797
796,Transports,Maritime goods short-sea shipping performed in the Exclusive Economic Zone of the countries,"Maritime accident victims by sea basin of occurrence, country of registration of vessels and type of vessels",796,797
796,Transports,Maritime transport infrastructure: ports,Maritime equipment - number of ships of 1 000 grt and over,796,798
796,Transports,Maritime transport infrastructure: ports,Maritime equipment - number of ships of 300 grt and over,796,798
