measure,domain_true,domain_predicted,correct,cluster,cluster_majority_domain,cluster_purity,cluster_n_gt_measures,cluster_n_domains,error_source
Dispersion around the at-risk-of-poverty threshold - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,362,"People, Work & Living Conditions",1.0,2,1,correct
Depth of material deprivation - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,347,"People, Work & Living Conditions",1.0,1,1,correct
Housing cost overburden rate by sex - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,849,"People, Work & Living Conditions",1.0,10,1,correct
Housing cost overburden rate by age group - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,849,"People, Work & Living Conditions",1.0,10,1,correct
Housing cost overburden rate by poverty status - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,849,"People, Work & Living Conditions",1.0,10,1,correct
Housing cost overburden rate by household type - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,849,"People, Work & Living Conditions",1.0,10,1,correct
Overcrowding rate by sex - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1287,"People, Work & Living Conditions",1.0,12,1,correct
Overcrowding rate by age group - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1287,"People, Work & Living Conditions",1.0,12,1,correct
Overcrowding rate by poverty status - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1287,"People, Work & Living Conditions",1.0,12,1,correct
Overcrowding rate by tenure status - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1287,"People, Work & Living Conditions",1.0,12,1,correct
Overcrowding rate by degree of urbanisation - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1287,"People, Work & Living Conditions",1.0,12,1,correct
Overcrowding rate by household type - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1287,"People, Work & Living Conditions",1.0,12,1,correct
Overcrowding rate by sex - population without single-person households - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1287,"People, Work & Living Conditions",1.0,12,1,correct
Overcrowding rate by age group - population without single-person households - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1287,"People, Work & Living Conditions",1.0,12,1,correct
Overcrowding rate by poverty status - population without single-person households - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1287,"People, Work & Living Conditions",1.0,12,1,correct
Income quintile share ratio (S80/S20) by sex,"People, Work & Living Conditions","People, Work & Living Conditions",True,895,"People, Work & Living Conditions",1.0,3,1,correct
Gini coefficient of equivalised disposable income,"People, Work & Living Conditions","People, Work & Living Conditions",True,716,"People, Work & Living Conditions",1.0,6,1,correct
Gini coefficient of equivalised disposable income for children aged less than 18,"People, Work & Living Conditions","People, Work & Living Conditions",True,716,"People, Work & Living Conditions",1.0,6,1,correct
At-risk-of-poverty rate anchored at a fixed moment in time by sex - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,125,"People, Work & Living Conditions",1.0,26,1,correct
In-work at-risk-of-poverty rate by working time - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,879,"People, Work & Living Conditions",1.0,8,1,correct
Housing deprivation rate by number of item - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,848,"People, Work & Living Conditions",1.0,1,1,correct
"Share of total population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames of floor - EU-SILC survey","People, Work & Living Conditions","People, Work & Living Conditions",True,1763,"People, Work & Living Conditions",1.0,4,1,correct
"Share of total population having neither a bath, nor a shower in their dwelling - EU-SILC survey","People, Work & Living Conditions","People, Work & Living Conditions",True,1763,"People, Work & Living Conditions",1.0,4,1,correct
Share of total population not having indoor flushing toilet for the sole use of their household - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1763,"People, Work & Living Conditions",1.0,4,1,correct
Share of total population considering their dwelling as too dark - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1763,"People, Work & Living Conditions",1.0,4,1,correct
Median of the housing cost burden distribution by sex - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1120,"People, Work & Living Conditions",1.0,4,1,correct
Median of the housing cost burden distribution by age group - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1120,"People, Work & Living Conditions",1.0,4,1,correct
Median of the housing cost burden distribution by poverty status - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1120,"People, Work & Living Conditions",1.0,4,1,correct
"Trade volume indices, by reporting country",Money & Markets,Money & Markets,True,1907,Money & Markets,1.0,1,1,correct
"International trade, by reporting country, total product",Money & Markets,Transports,False,943,Money & Markets,1.0,3,1,"downstream (LLM domain choice, step 8)"
Exports of goods and services in % of GDP,Money & Markets,Money & Markets,True,588,Money & Markets,1.0,9,1,correct
Imports of goods and services in % of GDP,Money & Markets,Money & Markets,True,875,Money & Markets,1.0,8,1,correct
"Intra-EU27 (from trade, by Member State, total product",Money & Markets,Money & Markets,True,954,Money & Markets,1.0,1,1,correct
"Extra-EU27 (from trade, by Member State, total product",Money & Markets,Money & Markets,True,594,Money & Markets,1.0,4,1,correct
"Extra-EU27 (from trade, by product group",Money & Markets,Money & Markets,True,594,Money & Markets,1.0,4,1,correct
"Trade unit value indices, by reporting country",Money & Markets,Money & Markets,True,1905,Money & Markets,1.0,1,1,correct
Share of trade with the EU27 (from,Money & Markets,Money & Markets,True,1764,Money & Markets,1.0,1,1,correct
"International trade of EFTA and enlargement countries, by reporting country, total product",Money & Markets,Transports,False,943,Money & Markets,1.0,3,1,"downstream (LLM domain choice, step 8)"
"Extra-euro area (EA20) trade, by main partners, total product",Money & Markets,Money & Markets,True,594,Money & Markets,1.0,4,1,correct
"Extra-euro area (EA20) trade, by product group",Money & Markets,Money & Markets,True,594,Money & Markets,1.0,4,1,correct
"Trade in goods, by main world traders - EU27 (from",Money & Markets,Money & Markets,True,1899,Money & Markets,1.0,3,1,correct
"Total population, Candidate countries and potential candidates","People, Work & Living Conditions","People, Work & Living Conditions",True,1893,"People, Work & Living Conditions",1.0,1,1,correct
Households that have internet access at home by NUTS 2 regions,Tech & Innovation,Tech & Innovation,True,844,Tech & Innovation,1.0,1,1,correct
Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,Tech & Innovation,Tech & Innovation,True,907,Tech & Innovation,1.0,1,1,correct
Available beds in hospitals by NUTS 2 regions,Health & Safety,Health & Safety,True,130,Health & Safety,1.0,1,1,correct
Maritime transport of passengers by NUTS 2 regions,Transports,Transports,True,1091,Transports,1.0,2,1,correct
Maritime transport of freight by NUTS 2 regions,Transports,Transports,True,1091,Transports,1.0,2,1,correct
Air transport of passengers by NUTS 2 regions,Transports,Transports,True,67,Transports,1.0,9,1,correct
Air transport of freight by NUTS 2 regions,Transports,Transports,True,67,Transports,1.0,9,1,correct
At-risk-of-poverty rate by NUTS 2 regions,"People, Work & Living Conditions","People, Work & Living Conditions",True,125,"People, Work & Living Conditions",1.0,26,1,correct
Severe material deprivation rate by NUTS 2 regions,"People, Work & Living Conditions","People, Work & Living Conditions",True,1722,"People, Work & Living Conditions",1.0,14,1,correct
People at risk of poverty or social exclusion by NUTS 2 regions,"People, Work & Living Conditions","People, Work & Living Conditions",True,1327,"People, Work & Living Conditions",1.0,5,1,correct
People living in households with very low work intensity by NUTS 2 regions (population aged 0 to 59 years),"People, Work & Living Conditions","People, Work & Living Conditions",True,1329,"People, Work & Living Conditions",1.0,3,1,correct
Internet use by individuals,Tech & Innovation,Tech & Innovation,True,951,Tech & Innovation,1.0,1,1,correct
Percentage of the ICT personnel on total employment,Tech & Innovation,Money & Markets,False,1342,Tech & Innovation,0.75,4,2,"downstream (LLM domain choice, step 8)"
Percentage change of value added by ICT sector at current prices,Tech & Innovation,Money & Markets,False,1338,Tech & Innovation,1.0,1,1,"downstream (LLM domain choice, step 8)"
Individuals regularly using the internet,Tech & Innovation,Tech & Innovation,True,903,Tech & Innovation,1.0,15,1,correct
Individuals frequently using the internet,Tech & Innovation,Tech & Innovation,True,903,Tech & Innovation,1.0,15,1,correct
Individuals who have never used the internet,Tech & Innovation,Tech & Innovation,True,903,Tech & Innovation,1.0,15,1,correct
Individuals using the internet for sending/receiving e-mails,Tech & Innovation,Tech & Innovation,True,903,Tech & Innovation,1.0,15,1,correct
Individuals using the internet for finding information about goods and services,Tech & Innovation,Tech & Innovation,True,903,Tech & Innovation,1.0,15,1,correct
Individuals using the internet for buying goods or services,Tech & Innovation,Tech & Innovation,True,903,Tech & Innovation,1.0,15,1,correct
Individuals using the internet for selling goods or services,Tech & Innovation,Tech & Innovation,True,903,Tech & Innovation,1.0,15,1,correct
Individuals using the internet for internet banking,Tech & Innovation,Tech & Innovation,True,903,Tech & Innovation,1.0,15,1,correct
Individuals using the internet for seeking health-related information,Tech & Innovation,Tech & Innovation,True,903,Tech & Innovation,1.0,15,1,correct
Individuals using the internet for looking for a job or sending a job application,Tech & Innovation,Tech & Innovation,True,903,Tech & Innovation,1.0,15,1,correct
Individuals using the internet for doing an online course,Tech & Innovation,Tech & Innovation,True,903,Tech & Innovation,1.0,15,1,correct
Share of enterprises' turnover on e-commerce - %,Tech & Innovation,Money & Markets,False,1742,Tech & Innovation,1.0,1,1,"downstream (LLM domain choice, step 8)"
Enterprises having received orders online (at least 1%) - % of enterprises,Tech & Innovation,Money & Markets,False,523,Tech & Innovation,1.0,1,1,"downstream (LLM domain choice, step 8)"
"Enterprises using software solutions, like CRM to analyse information about clients for marketing purposes",Tech & Innovation,Tech & Innovation,True,534,Tech & Innovation,1.0,1,1,correct
Individuals using the internet for participating in social networks,Tech & Innovation,Tech & Innovation,True,903,Tech & Innovation,1.0,15,1,correct
Level of internet access - households,Tech & Innovation,Tech & Innovation,True,1017,Tech & Innovation,1.0,1,1,correct
High-tech exports,Tech & Innovation,Money & Markets,False,806,Tech & Innovation,1.0,2,1,"downstream (LLM domain choice, step 8)"
Nights spent at tourist accommodation establishments by residents/non-residents - monthly data,Living Well,Living Well,True,1209,Living Well,1.0,5,1,correct
Percentage change (compared to corresponding period of the previous year) in nights spent at tourist accommodation establishments by residents/non-residents - monthly data,Living Well,Living Well,True,1337,Living Well,1.0,1,1,correct
"Net occupancy rate of bed-places and bedrooms in hotels and similar accommodations (NACE Rev. 2, I, 55.1) - monthly data",Living Well,Living Well,True,1191,Living Well,1.0,2,1,correct
Arrivals of residents/non-residents at tourist accommodation establishments,Living Well,Living Well,True,114,Living Well,1.0,4,1,correct
Nights spent at tourist accommodation establishments by residents/non-residents,Living Well,Living Well,True,1209,Living Well,1.0,5,1,correct
Nights spent at tourist accommodation establishments by country/world region of residence of the tourist,Living Well,Living Well,True,1209,Living Well,1.0,5,1,correct
"Net occupancy rate of bed-places and bedrooms in hotels and similar accommodation (NACE Rev. 2, I, 55.1) (from onwards)",Living Well,Living Well,True,1191,Living Well,1.0,2,1,correct
Number of establishments and bed-places,Living Well,Money & Markets,False,13,Living Well,1.0,1,1,"downstream (LLM domain choice, step 8)"
Persons participating in tourism for personal purposes - number of tourists,Living Well,"People, Work & Living Conditions",False,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,"upstream (clustering, step 7)"
Participation in tourism for personal purposes - % of total population,Living Well,Living Well,True,1305,Living Well,1.0,1,1,correct
Average expenditure per trip,Living Well,Living Well,True,139,Living Well,1.0,2,1,correct
Average expenditure per night,Living Well,Living Well,True,139,Living Well,1.0,2,1,correct
"Gross non-performing loans, domestic and foreign entities - % of gross loans",Money & Markets,Money & Markets,True,759,Money & Markets,1.0,1,1,correct
"Consolidated banking leverage, domestic and foreign entities (asset-to-equity multiple)",Money & Markets,Money & Markets,True,262,Money & Markets,1.0,1,1,correct
Tier-1 capital ratio banking sector,Money & Markets,Money & Markets,True,1867,Money & Markets,1.0,1,1,correct
Return on equity of banks,Money & Markets,Money & Markets,True,1644,Money & Markets,1.0,1,1,correct
Current account balance - 3 year average,Money & Markets,Money & Markets,True,322,Money & Markets,1.0,2,1,correct
"Direct investment liabilities (stocks) - annual data, % of GDP",Money & Markets,Money & Markets,True,358,Money & Markets,1.0,4,1,correct
Capital account - annual data,Money & Markets,Money & Markets,True,192,Money & Markets,1.0,1,1,correct
Financial account - annual data,Money & Markets,Money & Markets,True,626,Money & Markets,1.0,1,1,correct
Current account balance - annual data,Money & Markets,Money & Markets,True,322,Money & Markets,1.0,2,1,correct
"Direct investment abroad, main components - annual data, million units of national currency",Money & Markets,Money & Markets,True,358,Money & Markets,1.0,4,1,correct
Net Lending/Borrowing (current and capital account) - annual data,Money & Markets,Money & Markets,True,1183,Money & Markets,1.0,1,1,correct
"Direct investment liabilities (flows) - annual data, % of GDP",Money & Markets,Money & Markets,True,358,Money & Markets,1.0,4,1,correct
Net trade balance of energy products - % of GDP,Money & Markets,Money & Markets,True,1196,Money & Markets,1.0,1,1,correct
"Real effective exchange rate – percentage changes, 42 trading partners",Money & Markets,Money & Markets,True,1598,Money & Markets,1.0,4,1,correct
Nominal effective exchange rate – 42 trading partners,Money & Markets,Money & Markets,True,1217,Money & Markets,1.0,2,1,correct
Nominal effective exchange rate – euro area trading partners,Money & Markets,Money & Markets,True,1217,Money & Markets,1.0,2,1,correct
"Real effective exchange rate – index, 42 trading partners",Money & Markets,Money & Markets,True,1598,Money & Markets,1.0,4,1,correct
Real effective exchange rate – euro area trading partners,Money & Markets,Money & Markets,True,1598,Money & Markets,1.0,4,1,correct
Export market shares - 3 years % change,Money & Markets,Money & Markets,True,586,Money & Markets,1.0,4,1,correct
Export market shares by items - 1 year % change,Money & Markets,Money & Markets,True,586,Money & Markets,1.0,4,1,correct
"Exports of high technology products as a share of total exports, SITC Rev. 4 - %",Money & Markets,Money & Markets,True,588,Money & Markets,1.0,9,1,correct
Export market shares in volume,Money & Markets,Money & Markets,True,586,Money & Markets,1.0,4,1,correct
Export market shares by items - % of world total,Money & Markets,Money & Markets,True,586,Money & Markets,1.0,4,1,correct
"Total financial sector liabilities, non-consolidated - annual data",Money & Markets,Money & Markets,True,1884,Money & Markets,1.0,2,1,correct
"Financial sector leverage (debt to equity), non-consolidated - %",Money & Markets,Money & Markets,True,633,Money & Markets,1.0,1,1,correct
"Total financial sector liabilities, consolidated",Money & Markets,Money & Markets,True,1884,Money & Markets,1.0,2,1,correct
"General government gross debt (EDP concept), consolidated - annual data",Money & Markets,Money & Markets,True,704,Money & Markets,1.0,8,1,correct
"House price index, deflated - annual data",Money & Markets,Money & Markets,True,829,Money & Markets,1.0,8,1,correct
House price index - annual data,Money & Markets,Money & Markets,True,829,Money & Markets,1.0,8,1,correct
"House price index, deflated - quarterly data",Money & Markets,Money & Markets,True,829,Money & Markets,1.0,8,1,correct
House price index - quarterly data,Money & Markets,Money & Markets,True,829,Money & Markets,1.0,8,1,correct
Building permits - annual data,Money & Markets,"People, Work & Living Conditions",False,178,Money & Markets,1.0,2,1,"downstream (LLM domain choice, step 8)"
Net international investment position - annual data,Money & Markets,Money & Markets,True,1189,Money & Markets,1.0,3,1,correct
"Direct investment - annual data, million units of national currency",Money & Markets,Money & Markets,True,358,Money & Markets,1.0,4,1,correct
"Portfolio investement - annual data, million units of national currency",Money & Markets,Money & Markets,True,1478,Money & Markets,1.0,1,1,correct
"Financial derivatives and employee stock options - annual data, million units of national currency",Money & Markets,Money & Markets,True,632,Money & Markets,1.0,1,1,correct
"Net external debt - annual data, % of GDP",Money & Markets,Money & Markets,True,1187,Money & Markets,1.0,2,1,correct
"Other investment - annual data, million units of national currency",Money & Markets,Money & Markets,True,1267,Money & Markets,1.0,1,1,correct
"Net external debt - quarterly data, % of GDP",Money & Markets,Money & Markets,True,1187,Money & Markets,1.0,2,1,correct
"Net international investment position - quarterly data, % of GDP",Money & Markets,Money & Markets,True,1189,Money & Markets,1.0,3,1,correct
Net international investment position excluding non-defaultable instruments - % of GDP,Money & Markets,Money & Markets,True,1189,Money & Markets,1.0,3,1,correct
People at risk of poverty or social exclusion,"People, Work & Living Conditions","People, Work & Living Conditions",True,1327,"People, Work & Living Conditions",1.0,5,1,correct
People at risk of poverty after social transfer,"People, Work & Living Conditions","People, Work & Living Conditions",True,1327,"People, Work & Living Conditions",1.0,5,1,correct
Severely materially and socially deprived people,"People, Work & Living Conditions","People, Work & Living Conditions",True,1724,"People, Work & Living Conditions",1.0,1,1,correct
People living in households with very low work intensity,"People, Work & Living Conditions","People, Work & Living Conditions",True,1329,"People, Work & Living Conditions",1.0,3,1,correct
Nominal unit labour cost per hour worked - 3 years % change,"People, Work & Living Conditions","People, Work & Living Conditions",True,1218,"People, Work & Living Conditions",0.6666666666666666,3,2,correct
Employment rate,"People, Work & Living Conditions","People, Work & Living Conditions",True,473,"People, Work & Living Conditions",0.8333333333333334,12,3,correct
"Compensation of employees - annual data, million units of national currency","People, Work & Living Conditions","People, Work & Living Conditions",True,254,Money & Markets,0.5,2,2,correct
"Labour force participation rate, aged 15-64 - annual averages","People, Work & Living Conditions","People, Work & Living Conditions",True,987,"People, Work & Living Conditions",1.0,2,1,correct
"Population, aged 15-74 - EU labour force survey","People, Work & Living Conditions","People, Work & Living Conditions",True,1448,"People, Work & Living Conditions",0.5454545454545454,11,2,correct
"Nominal unit labour cost per hour worked - annual data, % changes and index = 100)","People, Work & Living Conditions","People, Work & Living Conditions",True,1218,"People, Work & Living Conditions",0.6666666666666666,3,2,correct
Unit labour cost performance related to the euro area - annual data,Money & Markets,Money & Markets,True,1957,Money & Markets,1.0,1,1,correct
Labour force participation rate - % of total population aged 15-64,"People, Work & Living Conditions","People, Work & Living Conditions",True,987,"People, Work & Living Conditions",1.0,2,1,correct
"Long-term unemployment rate, % of active population aged 15-74","People, Work & Living Conditions","People, Work & Living Conditions",True,1049,"People, Work & Living Conditions",1.0,3,1,correct
Youth unemployment rate - % of active population aged 15-24,"People, Work & Living Conditions","People, Work & Living Conditions",True,2029,"People, Work & Living Conditions",1.0,4,1,correct
Young people neither in employment nor in education and training (15-29 years) - % of the total population in the same age group,"People, Work & Living Conditions","People, Work & Living Conditions",True,2025,"People, Work & Living Conditions",0.6,5,2,correct
Gross fixed capital formation at current prices,Money & Markets,Money & Markets,True,757,Money & Markets,1.0,4,1,correct
Terms of trade by items - 5 years % change,Money & Markets,Money & Markets,True,1859,Money & Markets,1.0,1,1,correct
"Residential construction - annual data, % of GDP",Money & Markets,Money & Markets,True,1638,Money & Markets,1.0,1,1,correct
Final consumption expenditure of households and non-profit institutions serving households - annual data,Money & Markets,Money & Markets,True,620,Money & Markets,1.0,6,1,correct
"Employment, domestic concept - annual data","People, Work & Living Conditions","People, Work & Living Conditions",True,499,Money & Markets,0.5,2,2,correct
"Employees, domestic concept - annual data","People, Work & Living Conditions","People, Work & Living Conditions",True,471,"People, Work & Living Conditions",1.0,1,1,correct
Labour productivity per hour worked - annual data,"People, Work & Living Conditions","People, Work & Living Conditions",True,985,Money & Markets,0.5555555555555556,9,2,correct
"Private sector credit flow, non-consolidated",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector credit flow: debt securities by sectors, non-consolidated - % of GDP",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector credit flow: debt securities by sectors, non-consolidated - million units of national currency",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector credit flow: loans by sectors, non-consolidated - % of GDP",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector credit flow: loans by sectors, non-consolidated - million units of national currency",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector credit flow, consolidated - % GDP",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector credit flow: debt securities by sectors, consolidated - % of GDP",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector credit flow: debt securities by sectors, consolidated - million units of national currency",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector credit flow: loans by sectors, consolidated - % of GDP",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector credit flow: loans by sectors, consolidated - million units of national currency",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector debt, non-consolidated",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector debt: debt securities by sectors, non-consolidated - % of GDP",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector debt: debt securities by sectors, non-consolidated - million units of national currency",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector debt: loans, by sectors, non-consolidated - % of GDP",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector debt: loans by sectors, non-consolidated - million units of national currency",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector debt, consolidated - % of GDP",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Household debt, consolidated including Non-profit institutions serving households - % of GDP",Money & Markets,Money & Markets,True,834,Money & Markets,1.0,1,1,correct
"Private sector debt: debt securities, by sectors, consolidated - % of GDP",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector debt: debt securities, by sectors, consolidated - million units of national currency",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector debt: loans, by sectors, consolidated - % of GDP",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Private sector debt: loans, by sectors, consolidated - million units of national currency",Money & Markets,Money & Markets,True,1516,Money & Markets,1.0,20,1,correct
"Non-financial corporations debt - consolidated, % of GDP",Money & Markets,Money & Markets,True,1226,Money & Markets,1.0,1,1,correct
Gross domestic expenditure on research and development (R&D),Tech & Innovation,Tech & Innovation,True,754,Tech & Innovation,1.0,2,1,correct
Unemployment rate - 3 year average,"People, Work & Living Conditions","People, Work & Living Conditions",True,1953,"People, Work & Living Conditions",1.0,1,1,correct
Unemployment rate - annual data,"People, Work & Living Conditions","People, Work & Living Conditions",True,1950,"People, Work & Living Conditions",1.0,12,1,correct
"Unemployment rate - quarterly data, seasonally adjusted","People, Work & Living Conditions","People, Work & Living Conditions",True,1954,"People, Work & Living Conditions",1.0,1,1,correct
Guest nights spent at short-stay accommodation offered via collaborative economy platforms by mode of accommodation - experimental statistics,Living Well,Living Well,True,766,Living Well,1.0,2,1,correct
Guest nights spent at short-stay accommodation offered via collaborative economy platforms by size class of accommodation - experimental statistics,Living Well,Living Well,True,766,Living Well,1.0,2,1,correct
Population on 1 January,"People, Work & Living Conditions","People, Work & Living Conditions",True,1448,"People, Work & Living Conditions",0.5454545454545454,11,2,correct
Population as a percentage of EU27 (from population,"People, Work & Living Conditions","People, Work & Living Conditions",True,1449,"People, Work & Living Conditions",1.0,1,1,correct
Mean age of women at childbirth and at birth of first child,"People, Work & Living Conditions","People, Work & Living Conditions",True,1109,"People, Work & Living Conditions",1.0,1,1,correct
"Population change - crude rates of total change, natural change and net migration plus adjustment","People, Work & Living Conditions","People, Work & Living Conditions",True,1455,"People, Work & Living Conditions",1.0,2,1,correct
Acquisition of citizenship,"People, Work & Living Conditions","People, Work & Living Conditions",True,48,"People, Work & Living Conditions",1.0,1,1,correct
Infant mortality rate,Health & Safety,Health & Safety,True,921,Health & Safety,1.0,2,1,correct
Proportion of population aged 65 and over,Health & Safety,"People, Work & Living Conditions",False,1551,Health & Safety,1.0,1,1,"downstream (LLM domain choice, step 8)"
Deaths and crude death rate,Health & Safety,Health & Safety,True,335,Health & Safety,1.0,1,1,correct
Practising physicians,Health & Safety,Health & Safety,True,1491,Health & Safety,1.0,1,1,correct
Practising dentists,Health & Safety,Health & Safety,True,1490,Health & Safety,1.0,1,1,correct
Hospital beds,Health & Safety,Health & Safety,True,817,Health & Safety,1.0,1,1,correct
Discharges from hospitals,Health & Safety,Health & Safety,True,361,Health & Safety,1.0,1,1,correct
Employment rates of recent graduates,Learning & Education,"People, Work & Living Conditions",False,473,"People, Work & Living Conditions",0.8333333333333334,12,3,"upstream (clustering, step 7)"
"At least upper secondary educational attainment, age group 25-64 by sex",Learning & Education,Learning & Education,True,123,Learning & Education,1.0,2,1,correct
Unemployment rates of the population aged 25-64 by educational attainment level,"People, Work & Living Conditions","People, Work & Living Conditions",True,1950,"People, Work & Living Conditions",1.0,12,1,correct
Hours worked per week of full-time employment,"People, Work & Living Conditions","People, Work & Living Conditions",True,828,"People, Work & Living Conditions",1.0,1,1,correct
Employees with a contract of limited duration (annual average),"People, Work & Living Conditions","People, Work & Living Conditions",True,468,"People, Work & Living Conditions",1.0,2,1,correct
Expenditure on social protection,"People, Work & Living Conditions","People, Work & Living Conditions",True,582,"People, Work & Living Conditions",1.0,2,1,correct
Total expenditure on social protection per head of population. ECU/EUR,"People, Work & Living Conditions",Money & Markets,False,1882,"People, Work & Living Conditions",1.0,4,1,"downstream (LLM domain choice, step 8)"
Expenditure on social protection per inhabitant,"People, Work & Living Conditions","People, Work & Living Conditions",True,582,"People, Work & Living Conditions",1.0,2,1,correct
Total expenditure on social protection by type,"People, Work & Living Conditions",Money & Markets,False,1882,"People, Work & Living Conditions",1.0,4,1,"downstream (LLM domain choice, step 8)"
Total expenditure on social benefits,"People, Work & Living Conditions",Money & Markets,False,1882,"People, Work & Living Conditions",1.0,4,1,"downstream (LLM domain choice, step 8)"
Expenditure on pensions,"People, Work & Living Conditions","People, Work & Living Conditions",True,579,"People, Work & Living Conditions",1.0,1,1,correct
Total expenditure on administration costs,"People, Work & Living Conditions",Money & Markets,False,1882,"People, Work & Living Conditions",1.0,4,1,"downstream (LLM domain choice, step 8)"
Other expenditure on social protection,"People, Work & Living Conditions","People, Work & Living Conditions",True,1265,"People, Work & Living Conditions",1.0,1,1,correct
Social protection receipts by type,"People, Work & Living Conditions","People, Work & Living Conditions",True,1785,"People, Work & Living Conditions",1.0,1,1,correct
"Death due to cancer, by sex",Health & Safety,Health & Safety,True,333,Health & Safety,1.0,13,1,correct
"Death due to other ischaemic heart diseases, by sex",Health & Safety,Health & Safety,True,333,Health & Safety,1.0,13,1,correct
"Death due to suicide, by sex",Health & Safety,Health & Safety,True,333,Health & Safety,1.0,13,1,correct
"Death due to accidents, by sex",Health & Safety,Health & Safety,True,333,Health & Safety,1.0,13,1,correct
"Death due to pneumonia, by sex",Health & Safety,Health & Safety,True,333,Health & Safety,1.0,13,1,correct
"Death due to chronic liver disease, by sex",Health & Safety,Health & Safety,True,333,Health & Safety,1.0,13,1,correct
"Death due to diseases of the nervous system, by sex",Health & Safety,Health & Safety,True,333,Health & Safety,1.0,13,1,correct
"Death due to diabetes mellitus, by sex",Health & Safety,Health & Safety,True,333,Health & Safety,1.0,13,1,correct
"Death due to alcoholic abuse, by sex",Health & Safety,Health & Safety,True,333,Health & Safety,1.0,13,1,correct
"Death due to AIDS (HIV-disease), by sex",Health & Safety,Health & Safety,True,333,Health & Safety,1.0,13,1,correct
"Death due to homicide, assault, by sex",Health & Safety,Health & Safety,True,333,Health & Safety,1.0,13,1,correct
"Death due to drugs dependence, by sex",Health & Safety,Health & Safety,True,333,Health & Safety,1.0,13,1,correct
"At-risk-of-poverty-rate, by highest level of education attained","People, Work & Living Conditions","People, Work & Living Conditions",True,125,"People, Work & Living Conditions",1.0,26,1,correct
"Causes of death, by sex",Health & Safety,Health & Safety,True,199,Health & Safety,1.0,3,1,correct
Minimum wages,"People, Work & Living Conditions","People, Work & Living Conditions",True,1135,"People, Work & Living Conditions",1.0,1,1,correct
Population without the citizenship of the reporting country,"People, Work & Living Conditions","People, Work & Living Conditions",True,1477,"People, Work & Living Conditions",1.0,1,1,correct
